age,animation_time_between_frames,appeared_in_n_back_task,condition,date,difficulty,difficulty_category,image_folder_path,image_name,n_back_block_total,n_back_blocks_reversed,n_back_display_time,n_back_focal_image_height,n_back_image_overlap,n_back_interstimulus_interval,n_back_max_difficulty,n_back_max_errors_to_raise_difficulty,n_back_min_errors_to_lower_difficulty,n_back_practice_max_difficulty,n_back_prime_image_height,n_back_prime_list_name,n_back_start_difficulty,n_back_task,n_back_task_critical_age,output_location,participant,participant_num,position,practice_run,prime_image_display_time,prime_task,reaction_time,response_time,set,user_response,younger_than_or_at_critical_age
8,1,1,3,Sat Aug 10 11:47:21 2019,5,old,images/prime/task/B/umbrella,umbrella,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1027,1027,0,1,1.5,1,1.33770299,,B,umbrella,0
8,1,0,3,Sat Aug 10 11:47:21 2019,7,old,images/prime/task/A/hanger,hanger,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1027,1027,1,1,1.5,1,0.031680107,,A,hanger,0
8,1,0,3,Sat Aug 10 11:47:21 2019,7,old,images/prime/task/A/snowman,snowman,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1027,1027,2,1,1.5,1,1.082714081,,A,snowman,0
8,1,1,3,Sat Aug 10 11:47:21 2019,7,old,images/prime/task/B/bird,bird,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1027,1027,3,1,1.5,1,0.044551134,,B,bird,0
8,1,0,3,Sat Aug 10 11:47:21 2019,7,old,images/prime/task/A/piano,piano,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1027,1027,4,1,1.5,1,0.007837057,,A,piano,0
8,1,1,3,Sat Aug 10 11:47:21 2019,6,old,images/prime/task/B/mountain,mountain,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1027,1027,5,1,1.5,1,0.137486935,,B,mountain,0
8,1,1,3,Sat Aug 10 11:47:21 2019,6,old,images/prime/task/B/chair,chair,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1027,1027,6,1,1.5,1,0.847068071,,B,chair,0
8,1,1,3,Sat Aug 10 11:47:21 2019,7,old,images/prime/task/B/guitar,guitar,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1027,1027,7,1,1.5,1,0.444945097,,B,guitar,0
8,1,0,3,Sat Aug 10 11:47:21 2019,7,old,images/prime/task/A/cat,cat,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1027,1027,8,1,1.5,1,1.243303061,,A,car,0
8,1,0,3,Sat Aug 10 11:47:21 2019,8,old,images/prime/task/A/watch,watch,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1027,1027,9,1,1.5,1,1.066900015,,A,watch,0
8,1,1,3,Sat Aug 10 11:47:21 2019,7,old,images/prime/task/B/flower,flower,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1027,1027,10,1,1.5,1,1.477217913,,B,flower,0
8,1,0,3,Sat Aug 10 11:47:21 2019,5,old,images/prime/task/A/bed,bed,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1027,1027,11,1,1.5,1,0.876002073,,A,bed,0
8,1,0,3,Sat Aug 10 11:47:21 2019,6,old,images/prime/task/A/clock,clock,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1027,1027,12,1,1.5,1,1.021531105,,A,clock,0
8,1,0,3,Sat Aug 10 11:47:21 2019,6,old,images/prime/task/A/truck,truck,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1027,1027,13,1,1.5,1,1.322866917,,A,truck,0
8,1,0,3,Sat Aug 10 11:47:21 2019,7,old,images/prime/task/A/fish,fish,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1027,1027,14,1,1.5,1,0.995576143,,A,fish,0
8,1,0,3,Sat Aug 10 11:47:21 2019,6,old,images/prime/task/A/kite,kite,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1027,1027,15,1,1.5,1,0.250969172,,A,kite,0
8,1,0,3,Sat Aug 10 11:47:21 2019,7,old,images/prime/task/A/scissors,scissors,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1027,1027,16,1,1.5,1,0.103321075,,A,scissors,0
8,1,0,3,Sat Aug 10 11:47:21 2019,5,old,images/prime/task/A/table,table,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1027,1027,17,1,1.5,1,1.064210892,,A,box,0
