age,animation_time_between_frames,appeared_in_n_back_task,condition,date,difficulty,difficulty_category,image_folder_path,image_name,n_back_block_total,n_back_blocks_reversed,n_back_display_time,n_back_focal_image_height,n_back_image_overlap,n_back_interstimulus_interval,n_back_max_difficulty,n_back_max_errors_to_raise_difficulty,n_back_min_errors_to_lower_difficulty,n_back_practice_max_difficulty,n_back_prime_image_height,n_back_prime_list_name,n_back_start_difficulty,n_back_task,n_back_task_critical_age,output_location,participant,participant_num,position,practice_run,prime_image_display_time,prime_task,reaction_time,response_time,set,user_response,younger_than_or_at_critical_age
9,1,1,2,Wed Jul 31 15:21:47 2019,6,old,images/prime/task/B/chair,chair,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1022,1022,0,1,1.5,1,0.515746116638,,B,chair,0
9,1,1,2,Wed Jul 31 15:21:47 2019,4,old,images/prime/task/B/bird,bird,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1022,1022,1,1,1.5,1,0.785161972046,,B,person,0
9,1,1,2,Wed Jul 31 15:21:47 2019,6,old,images/prime/task/B/umbrella,umbrella,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1022,1022,2,1,1.5,1,1.02291107178,,B,umbrella,0
9,1,1,2,Wed Jul 31 15:21:47 2019,5,old,images/prime/task/B/car,car,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1022,1022,3,1,1.5,1,1.31115698814,,B,car,0
9,1,0,2,Wed Jul 31 15:21:47 2019,5,old,images/prime/task/A/banana,banana,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1022,1022,4,1,1.5,1,0.821720838547,,A,moon,0
9,1,1,2,Wed Jul 31 15:21:47 2019,7,old,images/prime/task/B/sandwich,sandwich,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1022,1022,5,1,1.5,1,1.331553936,,B,sandwich,0
9,1,0,2,Wed Jul 31 15:21:47 2019,8,old,images/prime/task/A/hanger,hanger,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1022,1022,6,1,1.5,1,0.721270084381,,A,hanger,0
9,1,1,2,Wed Jul 31 15:21:47 2019,7,old,images/prime/task/B/candle,candle,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1022,1022,7,1,1.5,1,1.43952679634,,B,candle,0
9,1,0,2,Wed Jul 31 15:21:47 2019,8,old,images/prime/task/A/cat,cat,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1022,1022,8,1,1.5,1,0.389632940292,,A,cat,0
9,1,0,2,Wed Jul 31 15:21:47 2019,8,old,images/prime/task/A/grapes,grapes,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1022,1022,9,1,1.5,1,,,A,grapes,0
9,1,0,2,Wed Jul 31 15:21:47 2019,8,old,images/prime/task/A/pear,pear,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1022,1022,10,1,1.5,1,0.608642101288,,A,pear,0
9,1,1,2,Wed Jul 31 15:21:47 2019,7,old,images/prime/task/B/mountain,mountain,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1022,1022,11,1,1.5,1,0.0651059150696,,B,volcano,0
9,1,1,2,Wed Jul 31 15:21:47 2019,7,old,images/prime/task/B/kangaroo,kangaroo,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1022,1022,12,1,1.5,1,0.551062822342,,B,kangeroo,0
9,1,0,2,Wed Jul 31 15:21:47 2019,7,old,images/prime/task/A/clock,clock,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1022,1022,13,1,1.5,1,0.353054046631,,A,clock,0
9,1,1,2,Wed Jul 31 15:21:47 2019,6,old,images/prime/task/B/hand,hand,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1022,1022,14,1,1.5,1,1.41298699379,,B,hand,0
9,1,0,2,Wed Jul 31 15:21:47 2019,8,old,images/prime/task/A/whistle,whistle,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1022,1022,15,1,1.5,1,,,A,whistle,0
9,1,0,2,Wed Jul 31 15:21:47 2019,7,old,images/prime/task/A/piano,piano,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1022,1022,16,1,1.5,1,0.809487104416,,A,piano,0
9,1,0,2,Wed Jul 31 15:21:47 2019,3,old,images/prime/task/A/table,table,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1022,1022,17,1,1.5,1,1.35640716553,,A,table,0
9,1,1,2,Wed Jul 31 15:21:47 2019,5,old,images/prime/task/B/ear,ear,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1022,1022,18,1,1.5,1,1.36058187485,,B,ear,0
9,1,0,2,Wed Jul 31 15:21:47 2019,7,old,images/prime/task/A/fish,fish,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1022,1022,19,1,1.5,1,1.19168496132,,A,fish,0
9,1,1,2,Wed Jul 31 15:21:47 2019,7,old,images/prime/task/B/key,key,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1022,1022,20,1,1.5,1,0.658029079437,,B,key,0
9,1,1,2,Wed Jul 31 15:21:47 2019,6,old,images/prime/task/B/guitar,guitar,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1022,1022,21,1,1.5,1,0.91937994957,,B,guitar,0
9,1,1,2,Wed Jul 31 15:21:47 2019,7,old,images/prime/task/B/carrot,carrot,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1022,1022,22,1,1.5,1,1.5040500164,,B,carrot,0
9,1,1,2,Wed Jul 31 15:21:47 2019,5,old,images/prime/task/B/pumpkin,pumpkin,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1022,1022,23,1,1.5,1,0.0974390506744,,B,pumpkin,0
9,1,0,2,Wed Jul 31 15:21:47 2019,6,old,images/prime/task/A/shoe,shoe,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1022,1022,24,1,1.5,1,1.03708791733,,A,shoe,0
9,1,0,2,Wed Jul 31 15:21:47 2019,6,old,images/prime/task/A/kite,kite,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1022,1022,25,1,1.5,1,1.37506890297,,A,kite,0
9,1,1,2,Wed Jul 31 15:21:47 2019,6,old,images/prime/task/B/ball,ball,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1022,1022,26,1,1.5,1,0.876276016235,,B,ball,0
9,1,0,2,Wed Jul 31 15:21:47 2019,3,old,images/prime/task/A/monkey,monkey,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1022,1022,27,1,1.5,1,0.343667984009,,A,bike,0
9,1,1,2,Wed Jul 31 15:21:47 2019,6,old,images/prime/task/B/sock,sock,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1022,1022,28,1,1.5,1,0.585219144821,,B,sock,0
9,1,0,2,Wed Jul 31 15:21:47 2019,6,old,images/prime/task/A/bed,bed,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1022,1022,29,1,1.5,1,0.215473890305,,A,bed,0
9,1,0,2,Wed Jul 31 15:21:47 2019,4,old,images/prime/task/A/ladder,ladder,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1022,1022,30,1,1.5,1,0.347975969315,,A,ladder,0
9,1,0,2,Wed Jul 31 15:21:47 2019,5,old,images/prime/task/A/horse,horse,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1022,1022,31,1,1.5,1,1.21876096725,,A,horse,0
9,1,1,2,Wed Jul 31 15:21:47 2019,5,old,images/prime/task/B/apple,apple,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1022,1022,32,1,1.5,1,1.24966001511,,B,apple,0
9,1,0,2,Wed Jul 31 15:21:47 2019,8,old,images/prime/task/A/penguin,penguin,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1022,1022,33,1,1.5,1,1.14899992943,,A,penguin,0
9,1,1,2,Wed Jul 31 15:21:47 2019,4,old,images/prime/task/B/flower,flower,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1022,1022,34,1,1.5,1,1.12864613533,,B,dog,0
9,1,1,2,Wed Jul 31 15:21:47 2019,6,old,images/prime/task/B/camel,camel,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1022,1022,35,1,1.5,1,0.0897738933563,,B,camel,0
9,1,0,2,Wed Jul 31 15:21:47 2019,6,old,images/prime/task/A/snowman,snowman,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1022,1022,36,1,1.5,1,0.353902101517,,A,snowman,0
