"","X","age","animation_time_between_frames","appeared_in_n_back_task","condition","date","difficulty","difficulty_category","image_folder_path","image_name","n_back_block_total","n_back_blocks_reversed","n_back_display_time","n_back_focal_image_height","n_back_image_overlap","n_back_interstimulus_interval","n_back_max_difficulty","n_back_max_errors_to_raise_difficulty","n_back_min_errors_to_lower_difficulty","n_back_practice_max_difficulty","n_back_prime_image_height","n_back_prime_list_name","n_back_start_difficulty","n_back_task","n_back_task_critical_age","output_location","participant","participant_num","position","practice_run","prime_image_display_time","prime_task","reaction_time","response_time","set","user_response","younger_than_or_at_critical_age","response_correct","response_uncertain"
"1",1,18,1,0,1,"Wed Apr  3 13:38:53 2019",5,"old","images/prime/task/B/car","car",4,0,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A073",73,0,1,1.5,1,1.2089009285,NA,"B","car",0,1,0
"2",2,18,1,0,1,"Wed Apr  3 13:38:53 2019",7,"old","images/prime/task/B/sandwich","sandwich",4,0,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A073",73,1,1,1.5,1,0.428112030029,NA,"B","sandwhich",0,1,0
"3",3,18,1,1,1,"Wed Apr  3 13:38:53 2019",4,"old","images/prime/task/A/snowman","snowman",4,0,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A073",73,2,1,1.5,1,1.22492098808,NA,"A","snowman",0,1,0
"4",4,18,1,0,1,"Wed Apr  3 13:38:53 2019",6,"old","images/prime/task/B/sock","sock",4,0,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A073",73,3,1,1.5,1,0.652528047562,NA,"B","sock",0,1,0
"5",5,18,1,0,1,"Wed Apr  3 13:38:53 2019",7,"old","images/prime/task/B/apple","apple",4,0,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A073",73,4,1,1.5,1,0.751369953156,NA,"B","apple",0,1,0
"6",6,18,1,0,1,"Wed Apr  3 13:38:53 2019",8,"old","images/prime/task/B/ear","ear",4,0,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A073",73,5,1,1.5,1,0.753871917725,NA,"B","ear",0,1,0
"7",7,18,1,1,1,"Wed Apr  3 13:38:53 2019",7,"old","images/prime/task/A/monkey","monkey",4,0,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A073",73,6,1,1.5,1,1.13937401772,NA,"A","monkey",0,1,0
"8",8,18,1,0,1,"Wed Apr  3 13:38:53 2019",6,"old","images/prime/task/B/candle","candle",4,0,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A073",73,7,1,1.5,1,1.14408111572,NA,"B","candle",0,1,0
"9",9,18,1,0,1,"Wed Apr  3 13:38:53 2019",6,"old","images/prime/task/B/glasses","glasses",4,0,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A073",73,8,1,1.5,1,0.73597407341,NA,"B","glasses",0,1,0
"10",10,18,1,0,1,"Wed Apr  3 13:38:53 2019",6,"old","images/prime/task/B/bird","bird",4,0,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A073",73,9,1,1.5,1,0.882299900055,NA,"B","bird",0,1,0
"11",11,18,1,1,1,"Wed Apr  3 13:38:53 2019",6,"old","images/prime/task/A/scissors","scissors",4,0,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A073",73,10,1,1.5,1,0.0875279903412,NA,"A","scissors",0,1,0
"12",12,18,1,1,1,"Wed Apr  3 13:38:53 2019",6,"old","images/prime/task/A/shoe","shoe",4,0,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A073",73,11,1,1.5,1,0.756906986237,NA,"A","shoe",0,1,0
"13",13,18,1,0,1,"Wed Apr  3 13:38:53 2019",4,"old","images/prime/task/B/kangaroo","kangaroo",4,0,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A073",73,12,1,1.5,1,0.629487991333,NA,"B","kangaroo",0,1,0
"14",14,18,1,0,1,"Wed Apr  3 13:38:53 2019",4,"old","images/prime/task/B/camel","camel",4,0,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A073",73,13,1,1.5,1,1.4252679348,NA,"B","camel",0,1,0
"15",15,18,1,1,1,"Wed Apr  3 13:38:53 2019",6,"old","images/prime/task/A/truck","truck",4,0,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A073",73,14,1,1.5,1,0.656508207321,NA,"A","truck",0,1,0
"16",16,18,1,0,1,"Wed Apr  3 13:38:53 2019",6,"old","images/prime/task/B/ball","ball",4,0,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A073",73,15,1,1.5,1,0.66969704628,NA,"B","ball",0,1,0
"17",17,18,1,0,1,"Wed Apr  3 13:38:53 2019",6,"old","images/prime/task/B/mountain","mountain",4,0,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A073",73,16,1,1.5,1,0.677737951279,NA,"B","mountain",0,1,0
"18",18,18,1,1,1,"Wed Apr  3 13:38:53 2019",5,"old","images/prime/task/A/piano","piano",4,0,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A073",73,17,1,1.5,1,1.04523205757,NA,"A","piano",0,1,0
"19",19,18,1,1,1,"Wed Apr  3 13:38:53 2019",7,"old","images/prime/task/A/grapes","grapes",4,0,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A073",73,18,1,1.5,1,1.28141999245,NA,"A","grapes",0,1,0
"20",20,18,1,1,1,"Wed Apr  3 13:38:53 2019",4,"old","images/prime/task/A/table","table",4,0,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A073",73,19,1,1.5,1,1.03605508804,NA,"A","table",0,1,0
"21",21,18,1,1,1,"Wed Apr  3 13:38:53 2019",6,"old","images/prime/task/A/bed","bed",4,0,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A073",73,20,1,1.5,1,0.396152973175,NA,"A","bed",0,1,0
"22",22,18,1,0,1,"Wed Apr  3 13:38:53 2019",6,"old","images/prime/task/B/elephant","elephant",4,0,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A073",73,21,1,1.5,1,0.939678907394,NA,"B","elephant",0,1,0
"23",23,18,1,0,1,"Wed Apr  3 13:38:53 2019",5,"old","images/prime/task/B/bowl","bowl",4,0,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A073",73,22,1,1.5,1,0.558674812317,NA,"B","bowl",0,1,0
"24",24,18,1,1,1,"Wed Apr  3 13:38:53 2019",4,"old","images/prime/task/A/banana","banana",4,0,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A073",73,23,1,1.5,1,0.680717945099,NA,"A","banana",0,1,0
"25",25,18,1,0,1,"Wed Apr  3 13:38:53 2019",6,"old","images/prime/task/B/guitar","guitar",4,0,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A073",73,24,1,1.5,1,0.351907968521,NA,"B","guitar",0,1,0
"26",26,18,1,1,1,"Wed Apr  3 13:38:53 2019",7,"old","images/prime/task/A/whistle","whistle",4,0,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A073",73,25,1,1.5,1,0.395807027817,NA,"A","whistle",0,1,0
"27",27,18,1,0,1,"Wed Apr  3 13:38:53 2019",6,"old","images/prime/task/B/key","key",4,0,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A073",73,26,1,1.5,1,0.0532639026642,NA,"B","key",0,1,0
"28",28,18,1,0,1,"Wed Apr  3 13:38:53 2019",6,"old","images/prime/task/B/hand","hand",4,0,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A073",73,27,1,1.5,1,0.475436925888,NA,"B","hand",0,1,0
"29",29,18,1,1,1,"Wed Apr  3 13:38:53 2019",4,"old","images/prime/task/A/foot","foot",4,0,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A073",73,28,1,1.5,1,0.653891086578,NA,"A","foot",0,1,0
"30",30,18,1,0,1,"Wed Apr  3 13:38:53 2019",7,"old","images/prime/task/B/flower","flower",4,0,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A073",73,29,1,1.5,1,0.299597978592,NA,"B","flower",0,1,0
"31",31,18,1,1,1,"Wed Apr  3 13:38:53 2019",5,"old","images/prime/task/A/cat","cat",4,0,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A073",73,30,1,1.5,1,0.0349631309509,NA,"A","rabbit",0,0,0
"32",32,18,1,1,1,"Wed Apr  3 13:38:53 2019",5,"old","images/prime/task/A/penguin","penguin",4,0,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A073",73,31,1,1.5,1,0.96640586853,NA,"A","fish",0,0,0
"33",33,18,1,1,1,"Wed Apr  3 13:38:53 2019",6,"old","images/prime/task/A/pear","pear",4,0,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A073",73,32,1,1.5,1,0.69304394722,NA,"A","pear",0,1,0
"34",34,18,1,1,1,"Wed Apr  3 13:38:53 2019",7,"old","images/prime/task/A/hanger","hanger",4,0,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A073",73,33,1,1.5,1,0.617388010025,NA,"A","hanger",0,1,0
"35",35,18,1,1,1,"Wed Apr  3 13:38:53 2019",6,"old","images/prime/task/A/tree","tree",4,0,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A073",73,34,1,1.5,1,0.296821117401,NA,"A","tree",0,1,0
"36",36,18,1,0,1,"Wed Apr  3 13:38:53 2019",7,"old","images/prime/task/B/carrot","carrot",4,0,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A073",73,35,1,1.5,1,1.25076293945,NA,"B","carrot",0,1,0
"37",37,18,1,1,1,"Wed Apr  3 13:38:53 2019",4,"old","images/prime/task/A/horse","horse",4,0,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A073",73,36,1,1.5,1,1.04137301445,NA,"A","horse",0,1,0
"38",38,18,1,0,1,"Wed Apr  3 13:38:53 2019",6,"old","images/prime/task/B/umbrella","umbrella",4,0,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A073",73,37,1,1.5,1,0.486310005188,NA,"B","umbrella",0,1,0
"39",39,18,1,0,1,"Wed Apr  3 13:38:53 2019",4,"old","images/prime/task/B/chair","chair",4,0,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A073",73,38,1,1.5,1,0.976541996002,NA,"B","chair",0,1,0
"40",40,18,1,1,1,"Wed Apr  3 13:38:53 2019",6,"old","images/prime/task/A/fish","fish",4,0,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A073",73,39,1,1.5,1,0.978881120682,NA,"A","fish",0,1,0
"41",41,18,1,1,1,"Wed Apr  3 13:38:53 2019",5,"old","images/prime/task/A/clock","clock",4,0,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A073",73,40,1,1.5,1,1.16987919807,NA,"A","clock",0,1,0
"42",42,18,1,0,1,"Wed Apr  3 13:38:53 2019",5,"old","images/prime/task/B/pumpkin","pumpkin",4,0,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A073",73,41,1,1.5,1,0.459356069565,NA,"B","pumpkin",0,1,0
"43",43,18,1,1,1,"Wed Apr  3 13:38:53 2019",6,"old","images/prime/task/A/watch","watch",4,0,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A073",73,42,1,1.5,1,0.508035898209,NA,"A","belt",0,1,0
"44",44,18,1,0,1,"Wed Apr  3 13:38:53 2019",8,"old","images/prime/task/B/comb","comb",4,0,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A073",73,43,1,1.5,1,NA,NA,"B","comb",0,1,0
"45",45,18,1,1,1,"Wed Apr  3 13:38:53 2019",6,"old","images/prime/task/A/ladder","ladder",4,0,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A073",73,44,1,1.5,1,1.13424801826,NA,"A","ladder",0,1,0
"46",46,18,1,1,1,"Wed Apr  3 13:38:53 2019",5,"old","images/prime/task/A/kite","kite",4,0,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A073",73,45,1,1.5,1,0.516911029816,NA,"A","kite",0,1,0
