"","age","animation_time_between_frames","appeared_in_n_back_task","condition","date","difficulty","difficulty_category","image_folder_path","image_name","n_back_block_total","n_back_blocks_reversed","n_back_display_time","n_back_focal_image_height","n_back_image_overlap","n_back_interstimulus_interval","n_back_max_difficulty","n_back_max_errors_to_raise_difficulty","n_back_min_errors_to_lower_difficulty","n_back_practice_max_difficulty","n_back_prime_image_height","n_back_prime_list_name","n_back_start_difficulty","n_back_task","n_back_task_critical_age","output_location","participant","participant_num","position","practice_run","prime_image_display_time","prime_task","reaction_time","response_time","set","user_response","younger_than_or_at_critical_age","response_correct","response_uncertain"
"1",21,1,0,0,"Fri Apr  5 16:10:22 2019",7,"old","images/prime/task/B/flower","flower",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A080",80,0,1,1.5,1,1.24397301674,NA,"B","flower",0,1,0
"2",21,1,0,0,"Fri Apr  5 16:10:22 2019",7,"old","images/prime/task/B/kangaroo","kangaroo",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A080",80,1,1,1.5,1,0.195941925049,NA,"B","kangaroo",0,1,0
"3",21,1,0,0,"Fri Apr  5 16:10:22 2019",5,"old","images/prime/task/B/elephant","elephant",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A080",80,2,1,1.5,1,0.801773071289,NA,"B","elephant",0,1,0
"4",21,1,1,0,"Fri Apr  5 16:10:22 2019",6,"old","images/prime/task/A/whistle","whistle",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A080",80,3,1,1.5,1,1.18934297562,NA,"A","whistle",0,1,0
"5",21,1,1,0,"Fri Apr  5 16:10:22 2019",7,"old","images/prime/task/A/truck","truck",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A080",80,4,1,1.5,1,1.40761208534,NA,"A","truck",0,1,0
"6",21,1,0,0,"Fri Apr  5 16:10:22 2019",7,"old","images/prime/task/B/pumpkin","pumpkin",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A080",80,5,1,1.5,1,1.15596103668,NA,"B","pumpkin",0,1,0
"7",21,1,0,0,"Fri Apr  5 16:10:22 2019",7,"old","images/prime/task/B/umbrella","umbrella",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A080",80,6,1,1.5,1,0.88275384903,NA,"B","umbrella",0,1,0
"8",21,1,1,0,"Fri Apr  5 16:10:22 2019",5,"old","images/prime/task/A/foot","foot",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A080",80,7,1,1.5,1,1.09536910057,NA,"A","foot",0,1,0
"9",21,1,1,0,"Fri Apr  5 16:10:22 2019",5,"old","images/prime/task/A/bed","bed",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A080",80,8,1,1.5,1,0.948302030563,NA,"A","bed",0,1,0
"10",21,1,0,0,"Fri Apr  5 16:10:22 2019",7,"old","images/prime/task/B/mountain","mountain",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A080",80,9,1,1.5,1,0.504729032516,NA,"B","mountain",0,1,0
"11",21,1,1,0,"Fri Apr  5 16:10:22 2019",5,"old","images/prime/task/A/scissors","scissors",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A080",80,10,1,1.5,1,0.97164106369,NA,"A","scissors",0,1,0
"12",21,1,0,0,"Fri Apr  5 16:10:22 2019",7,"old","images/prime/task/B/comb","comb",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A080",80,11,1,1.5,1,0.954283952713,NA,"B","comb",0,1,0
"13",21,1,1,0,"Fri Apr  5 16:10:22 2019",6,"old","images/prime/task/A/hanger","hanger",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A080",80,12,1,1.5,1,0.666473865509,NA,"A","hanger",0,1,0
"14",21,1,0,0,"Fri Apr  5 16:10:22 2019",7,"old","images/prime/task/B/apple","apple",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A080",80,13,1,1.5,1,1.01943707466,NA,"B","apple",0,1,0
"15",21,1,0,0,"Fri Apr  5 16:10:22 2019",6,"old","images/prime/task/B/guitar","guitar",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A080",80,14,1,1.5,1,0.476532936096,NA,"B","guitar",0,1,0
"16",21,1,1,0,"Fri Apr  5 16:10:22 2019",6,"old","images/prime/task/A/table","table",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A080",80,15,1,1.5,1,0.688055038452,NA,"A","table",0,1,0
"17",21,1,0,0,"Fri Apr  5 16:10:22 2019",7,"old","images/prime/task/B/key","key",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A080",80,16,1,1.5,1,1.22588896751,NA,"B","key",0,1,0
"18",21,1,0,0,"Fri Apr  5 16:10:22 2019",7,"old","images/prime/task/B/bird","bird",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A080",80,17,1,1.5,1,0.253576040268,NA,"B","bird",0,1,0
"19",21,1,1,0,"Fri Apr  5 16:10:22 2019",7,"old","images/prime/task/A/watch","watch",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A080",80,18,1,1.5,1,1.20637011528,NA,"A","watch",0,1,0
"20",21,1,0,0,"Fri Apr  5 16:10:22 2019",6,"old","images/prime/task/B/hand","hand",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A080",80,19,1,1.5,1,0.376152992249,NA,"B","hand",0,1,0
"21",21,1,1,0,"Fri Apr  5 16:10:22 2019",7,"old","images/prime/task/A/grapes","grapes",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A080",80,20,1,1.5,1,0.792017936707,NA,"A","grapes",0,1,0
"22",21,1,0,0,"Fri Apr  5 16:10:22 2019",6,"old","images/prime/task/B/chair","chair",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A080",80,21,1,1.5,1,0.277893066406,NA,"B","chair",0,1,0
"23",21,1,1,0,"Fri Apr  5 16:10:22 2019",5,"old","images/prime/task/A/kite","kite",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A080",80,22,1,1.5,1,0.542593955994,NA,"A","kite",0,1,0
"24",21,1,0,0,"Fri Apr  5 16:10:22 2019",7,"old","images/prime/task/B/bowl","bowl",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A080",80,23,1,1.5,1,0.433841943741,NA,"B","bowl",0,1,0
"25",21,1,1,0,"Fri Apr  5 16:10:22 2019",7,"old","images/prime/task/A/tree","tree",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A080",80,24,1,1.5,1,0.245736122131,NA,"A","tree",0,1,0
