age,animation_time_between_frames,appeared_in_n_back_task,condition,date,difficulty,difficulty_category,image_folder_path,image_name,n_back_block_total,n_back_blocks_reversed,n_back_display_time,n_back_focal_image_height,n_back_image_overlap,n_back_interstimulus_interval,n_back_max_difficulty,n_back_max_errors_to_raise_difficulty,n_back_min_errors_to_lower_difficulty,n_back_practice_max_difficulty,n_back_prime_image_height,n_back_prime_list_name,n_back_start_difficulty,n_back_task,n_back_task_critical_age,output_location,participant,participant_num,position,practice_run,prime_image_display_time,prime_task,reaction_time,response_time,set,user_response,younger_than_or_at_critical_age
17,1,1,1,Wed Oct  2 11:09:49 2019,6,old,images/prime/task/A/penguin,penguin,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,2025,2025,0,1,1.5,1,0.401969194412,,A,penguin,0
17,1,0,1,Wed Oct  2 11:09:49 2019,6,old,images/prime/task/B/bowl,bowl,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,2025,2025,1,1,1.5,1,1.32537198067,,B,bowl,0
17,1,1,1,Wed Oct  2 11:09:49 2019,5,old,images/prime/task/A/kite,kite,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,2025,2025,2,1,1.5,1,1.06812596321,,A,kite,0
17,1,0,1,Wed Oct  2 11:09:49 2019,6,old,images/prime/task/B/mountain,mountain,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,2025,2025,3,1,1.5,1,1.35784888268,,B,mountain,0
17,1,1,1,Wed Oct  2 11:09:49 2019,5,old,images/prime/task/A/grapes,grapes,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,2025,2025,4,1,1.5,1,1.3111038208,,A,grapes,0
17,1,0,1,Wed Oct  2 11:09:49 2019,7,old,images/prime/task/B/apple,apple,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,2025,2025,5,1,1.5,1,1.18808794022,,B,apple,0
17,1,1,1,Wed Oct  2 11:09:49 2019,6,old,images/prime/task/A/watch,watch,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,2025,2025,6,1,1.5,1,0.596122980118,,A,watch,0
17,1,1,1,Wed Oct  2 11:09:49 2019,6,old,images/prime/task/A/bed,bed,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,2025,2025,7,1,1.5,1,1.3770301342,,A,bed,0
17,1,0,1,Wed Oct  2 11:09:49 2019,6,old,images/prime/task/B/umbrella,umbrella,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,2025,2025,8,1,1.5,1,0.529263019562,,B,umbrella,0
17,1,1,1,Wed Oct  2 11:09:49 2019,5,old,images/prime/task/A/cat,cat,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,2025,2025,9,1,1.5,1,1.35934400558,,A,cat,0
17,1,0,1,Wed Oct  2 11:09:49 2019,6,old,images/prime/task/B/pumpkin,pumpkin,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,2025,2025,10,1,1.5,1,1.01278400421,,B,pumpkin,0
17,1,0,1,Wed Oct  2 11:09:49 2019,7,old,images/prime/task/B/flower,flower,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,2025,2025,11,1,1.5,1,0.218558073044,,B,flower,0
17,1,1,1,Wed Oct  2 11:09:49 2019,5,old,images/prime/task/A/piano,piano,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,2025,2025,12,1,1.5,1,1.28278207779,,A,piano,0
17,1,0,1,Wed Oct  2 11:09:49 2019,5,old,images/prime/task/B/car,car,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,2025,2025,13,1,1.5,1,0.504344940186,,B,car,0
17,1,1,1,Wed Oct  2 11:09:49 2019,5,old,images/prime/task/A/snowman,snowman,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,2025,2025,14,1,1.5,1,0.604032993317,,A,snowman,0
17,1,0,1,Wed Oct  2 11:09:49 2019,6,old,images/prime/task/B/chair,chair,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,2025,2025,15,1,1.5,1,0.491755008698,,B,chair,0
17,1,1,1,Wed Oct  2 11:09:49 2019,4,old,images/prime/task/A/ladder,ladder,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,2025,2025,16,1,1.5,1,1.35006999969,,A,ladder,0
17,1,0,1,Wed Oct  2 11:09:49 2019,6,old,images/prime/task/B/kangaroo,kangaroo,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,2025,2025,17,1,1.5,1,1.19361495972,,B,kangaroo,0
17,1,0,1,Wed Oct  2 11:09:49 2019,5,old,images/prime/task/B/elephant,elephant,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,2025,2025,18,1,1.5,1,0.793114900589,,B,elephant,0
17,1,0,1,Wed Oct  2 11:09:49 2019,7,old,images/prime/task/B/comb,comb,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,2025,2025,19,1,1.5,1,0.781117916107,,B,comb,0
