"","X","age","animation_time_between_frames","appeared_in_n_back_task","condition","date","difficulty","difficulty_category","image_folder_path","image_name","n_back_block_total","n_back_blocks_reversed","n_back_display_time","n_back_focal_image_height","n_back_image_overlap","n_back_interstimulus_interval","n_back_max_difficulty","n_back_max_errors_to_raise_difficulty","n_back_min_errors_to_lower_difficulty","n_back_practice_max_difficulty","n_back_prime_image_height","n_back_prime_list_name","n_back_start_difficulty","n_back_task","n_back_task_critical_age","output_location","participant","participant_num","position","practice_run","prime_image_display_time","prime_task","reaction_time","response_time","set","user_response","younger_than_or_at_critical_age","response_correct","response_uncertain"
"1",1,7,1,0,0,"Sat May 25 13:43:41 2019",6,"old","images/prime/task/B/elephant","elephant",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","C1077",1077,0,1,1.5,1,1.360785007,NA,"B","elephant",0,1,0
"2",2,7,1,1,0,"Sat May 25 13:43:41 2019",5,"old","images/prime/task/A/tree","tree",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","C1077",1077,1,1,1.5,1,1.386299849,NA,"A","tree",0,1,0
"3",3,7,1,1,0,"Sat May 25 13:43:41 2019",4,"old","images/prime/task/A/penguin","penguin",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","C1077",1077,2,1,1.5,1,0.818432093,NA,"A","penguin",0,1,0
"4",4,7,1,0,0,"Sat May 25 13:43:41 2019",8,"old","images/prime/task/B/sandwich","sandwich",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","C1077",1077,3,1,1.5,1,NA,NA,"B"," sandwich",0,1,0
"5",5,7,1,0,0,"Sat May 25 13:43:41 2019",5,"old","images/prime/task/B/comb","comb",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","C1077",1077,4,1,1.5,1,1.44920516,NA,"B","log",0,0,0
"6",6,7,1,1,0,"Sat May 25 13:43:41 2019",7,"old","images/prime/task/A/hanger","hanger",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","C1077",1077,5,1,1.5,1,0.331794024,NA,"A","thing you hang your clothes on",0,1,0
"7",7,7,1,0,0,"Sat May 25 13:43:41 2019",6,"old","images/prime/task/B/camel","camel",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","C1077",1077,6,1,1.5,1,1.112679958,NA,"B","camel",0,1,0
"8",8,7,1,1,0,"Sat May 25 13:43:41 2019",7,"old","images/prime/task/A/grapes","grapes",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","C1077",1077,7,1,1.5,1,1.472353935,NA,"A","gorilla",0,0,0
"9",9,7,1,1,0,"Sat May 25 13:43:41 2019",4,"old","images/prime/task/A/table","table",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","C1077",1077,8,1,1.5,1,1.424305916,NA,"A","table",0,1,0
"10",10,7,1,1,0,"Sat May 25 13:43:41 2019",8,"old","images/prime/task/A/monkey","monkey",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","C1077",1077,9,1,1.5,1,0.128726959,NA,"A","monkey",0,1,0
