"","X","age","animation_time_between_frames","appeared_in_n_back_task","condition","date","difficulty","difficulty_category","image_folder_path","image_name","n_back_block_total","n_back_blocks_reversed","n_back_display_time","n_back_focal_image_height","n_back_image_overlap","n_back_interstimulus_interval","n_back_max_difficulty","n_back_max_errors_to_raise_difficulty","n_back_min_errors_to_lower_difficulty","n_back_practice_max_difficulty","n_back_prime_image_height","n_back_prime_list_name","n_back_start_difficulty","n_back_task","n_back_task_critical_age","output_location","participant","participant_num","position","practice_run","prime_image_display_time","prime_task","reaction_time","response_time","set","user_response","younger_than_or_at_critical_age","response_correct","response_uncertain"
"23",23,18,1,1,0,"Tue Oct  9 12:29:28 2018",5,"old","images/prime/task/A/ladder","ladder",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A024",24,22,1,1.5,1,1.34574508667,NA,"A","ladder",0,1,0
"24",24,18,1,1,0,"Tue Oct  9 12:29:28 2018",5,"old","images/prime/task/A/scissors","scissors",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A024",24,23,1,1.5,1,0.116231918335,NA,"A","scissors ",0,1,0
"25",25,18,1,0,0,"Tue Oct  9 12:29:28 2018",6,"old","images/prime/task/B/key","key",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A024",24,24,1,1.5,1,0.758059978485,NA,"B","key ",0,1,0
"26",26,18,1,1,0,"Tue Oct  9 12:29:28 2018",5,"old","images/prime/task/A/table","table",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A024",24,25,1,1.5,1,0.606151103973,NA,"A","table",0,1,0
"27",27,18,1,0,0,"Tue Oct  9 12:29:28 2018",7,"old","images/prime/task/B/bird","bird",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A024",24,26,1,1.5,1,0.736657857895,NA,"B","bird ",0,1,0
"28",28,18,1,1,0,"Tue Oct  9 12:29:28 2018",5,"old","images/prime/task/A/clock","clock",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A024",24,27,1,1.5,1,0.612638950348,NA,"A","clock",0,1,0
"29",29,18,1,1,0,"Tue Oct  9 12:29:28 2018",7,"old","images/prime/task/A/hanger","hanger",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A024",24,28,1,1.5,1,0.902005910873,NA,"A","hanger",0,1,0
"30",30,18,1,1,0,"Tue Oct  9 12:29:28 2018",5,"old","images/prime/task/A/foot","foot",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A024",24,29,1,1.5,1,0.928333044052,NA,"A","foot ",0,1,0
"31",31,18,1,1,0,"Tue Oct  9 12:29:28 2018",7,"old","images/prime/task/A/pear","pear",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A024",24,30,1,1.5,1,0.507176876068,NA,"A","pear ",0,1,0
"32",32,18,1,1,0,"Tue Oct  9 12:29:28 2018",6,"old","images/prime/task/A/penguin","penguin",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A024",24,31,1,1.5,1,0.648693799973,NA,"A","penguin",0,1,0
"33",33,18,1,1,0,"Tue Oct  9 12:29:28 2018",7,"old","images/prime/task/A/watch","watch",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A024",24,32,1,1.5,1,1.03101086617,NA,"A","watch",0,1,0
