"","X","age","animation_time_between_frames","appeared_in_n_back_task","condition","date","difficulty","difficulty_category","image_folder_path","image_name","n_back_block_total","n_back_blocks_reversed","n_back_display_time","n_back_focal_image_height","n_back_image_overlap","n_back_interstimulus_interval","n_back_max_difficulty","n_back_max_errors_to_raise_difficulty","n_back_min_errors_to_lower_difficulty","n_back_practice_max_difficulty","n_back_prime_image_height","n_back_prime_list_name","n_back_start_difficulty","n_back_task","n_back_task_critical_age","output_location","participant","participant_num","position","practice_run","prime_image_display_time","prime_task","reaction_time","response_time","set","user_response","younger_than_or_at_critical_age","response_correct","response_uncertain"
"1",1,7,1,1,3,"Sat May 25 15:09:18 2019",7,"old","images/prime/task/B/key","key",4,0,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C1079",1079,0,1,1.5,1,1.190769196,NA,"B","key",0,1,0
"2",2,7,1,1,3,"Sat May 25 15:09:18 2019",7,"old","images/prime/task/B/bird","bird",4,0,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C1079",1079,1,1,1.5,1,0.208515882,NA,"B","bird",0,1,0
"3",3,7,1,0,3,"Sat May 25 15:09:18 2019",8,"old","images/prime/task/A/monkey","monkey",4,0,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C1079",1079,2,1,1.5,1,0.869175911,NA,"A","monkey",0,1,0
"4",4,7,1,0,3,"Sat May 25 15:09:18 2019",8,"old","images/prime/task/A/ladder","ladder",4,0,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C1079",1079,3,1,1.5,1,0.675394058,NA,"A","ladder",0,1,0
"5",5,7,1,1,3,"Sat May 25 15:09:18 2019",8,"old","images/prime/task/B/carrot","carrot",4,0,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C1079",1079,4,1,1.5,1,NA,NA,"B"," carrot",0,1,0
"6",6,7,1,0,3,"Sat May 25 15:09:18 2019",6,"old","images/prime/task/A/cat","cat",4,0,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C1079",1079,5,1,1.5,1,1.402575016,NA,"A","cat",0,1,0
"7",7,7,1,1,3,"Sat May 25 15:09:18 2019",6,"old","images/prime/task/B/sock","sock",4,0,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C1079",1079,6,1,1.5,1,1.360358,NA,"B","sock",0,1,0
"8",8,7,1,0,3,"Sat May 25 15:09:18 2019",6,"old","images/prime/task/A/foot","foot",4,0,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C1079",1079,7,1,1.5,1,0.767162085,NA,"A","toe",0,1,0
"9",9,7,1,1,3,"Sat May 25 15:09:18 2019",6,"old","images/prime/task/B/camel","camel",4,0,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C1079",1079,8,1,1.5,1,0.691816092,NA,"B","camel",0,1,0
"10",10,7,1,0,3,"Sat May 25 15:09:18 2019",6,"old","images/prime/task/A/truck","truck",4,0,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C1079",1079,9,1,1.5,1,0.828022003,NA,"A","truck",0,1,0
"11",11,7,1,0,3,"Sat May 25 15:09:18 2019",8,"old","images/prime/task/A/pear","pear",4,0,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C1079",1079,10,1,1.5,1,0.010020018,NA,"A","pear",0,1,0
"12",12,7,1,1,3,"Sat May 25 15:09:18 2019",8,"old","images/prime/task/B/kangaroo","kangaroo",4,0,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C1079",1079,11,1,1.5,1,0.354362965,NA,"B","kangaroo",0,1,0
"13",13,7,1,0,3,"Sat May 25 15:09:18 2019",8,"old","images/prime/task/A/piano","piano",4,0,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C1079",1079,12,1,1.5,1,0.75782299,NA,"A","piano",0,1,0
"14",14,7,1,1,3,"Sat May 25 15:09:18 2019",6,"old","images/prime/task/B/pumpkin","pumpkin",4,0,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C1079",1079,13,1,1.5,1,1.080440044,NA,"B","pumpkin",0,1,0
