"","age","animation_time_between_frames","appeared_in_n_back_task","condition","date","difficulty","difficulty_category","image_folder_path","image_name","n_back_block_total","n_back_blocks_reversed","n_back_display_time","n_back_focal_image_height","n_back_image_overlap","n_back_interstimulus_interval","n_back_max_difficulty","n_back_max_errors_to_raise_difficulty","n_back_min_errors_to_lower_difficulty","n_back_practice_max_difficulty","n_back_prime_image_height","n_back_prime_list_name","n_back_start_difficulty","n_back_task","n_back_task_critical_age","output_location","participant","participant_num","position","practice_run","prime_image_display_time","prime_task","reaction_time","response_time","set","user_response","younger_than_or_at_critical_age","response_correct","response_uncertain"
"1",7,1,1,2,"Sat May 11 15:38:13 2019",5,"old","images/prime/task/B/elephant","elephant",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C1058",1058,0,1,1.5,1,1.18795800209045,NA,"B","elephant",0,1,0
"2",7,1,1,2,"Sat May 11 15:38:13 2019",6,"old","images/prime/task/B/ear","ear",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C1058",1058,1,1,1.5,1,1.12190985679626,NA,"B","ear",0,1,0
"3",7,1,1,2,"Sat May 11 15:38:13 2019",6,"old","images/prime/task/B/pumpkin","pumpkin",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C1058",1058,2,1,1.5,1,0.205889225006104,NA,"B","pumpkin",0,1,0
"4",7,1,1,2,"Sat May 11 15:38:13 2019",4,"old","images/prime/task/B/car","car",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C1058",1058,3,1,1.5,1,1.47514891624451,NA,"B","car",0,1,0
"5",7,1,0,2,"Sat May 11 15:38:13 2019",7,"old","images/prime/task/A/piano","piano",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C1058",1058,4,1,1.5,1,0.844490051269531,NA,"A","piano",0,1,0
"6",7,1,0,2,"Sat May 11 15:38:13 2019",6,"old","images/prime/task/A/bed","bed",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C1058",1058,5,1,1.5,1,0.286839008331299,NA,"A","bed",0,1,0
"7",7,1,0,2,"Sat May 11 15:38:13 2019",8,"old","images/prime/task/A/watch","watch",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C1058",1058,6,1,1.5,1,0.622380971908569,NA,"A","watch",0,1,0
"8",7,1,0,2,"Sat May 11 15:38:13 2019",8,"old","images/prime/task/A/kite","kite",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C1058",1058,7,1,1.5,1,1.36330699920654,NA,"A","",0,0,0
"9",7,1,0,2,"Sat May 11 15:38:13 2019",7,"old","images/prime/task/A/ladder","ladder",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C1058",1058,8,1,1.5,1,0.265848875045776,NA,"A","shelf",0,0,0
"10",7,1,0,2,"Sat May 11 15:38:13 2019",6,"old","images/prime/task/A/scissors","scissors",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C1058",1058,9,1,1.5,1,0.0969481468200684,NA,"A","scissors",0,1,0
"11",7,1,1,2,"Sat May 11 15:38:13 2019",6,"old","images/prime/task/B/ball","ball",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C1058",1058,10,1,1.5,1,1.26113796234131,NA,"B","ball",0,1,0
"12",7,1,1,2,"Sat May 11 15:38:13 2019",7,"old","images/prime/task/B/flower","flower",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C1058",1058,11,1,1.5,1,0.0197689533233643,NA,"B","flower",0,1,0
"13",7,1,0,2,"Sat May 11 15:38:13 2019",6,"old","images/prime/task/A/clock","clock",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C1058",1058,12,1,1.5,1,0.4531569480896,NA,"A","clock",0,1,0
"14",7,1,1,2,"Sat May 11 15:38:13 2019",5,"old","images/prime/task/B/apple","apple",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C1058",1058,13,1,1.5,1,1.48666906356812,NA,"B","apple",0,1,0
"15",7,1,0,2,"Sat May 11 15:38:13 2019",6,"old","images/prime/task/A/shoe","shoe",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C1058",1058,14,1,1.5,1,1.24191689491272,NA,"A","shoe",0,1,0
"16",7,1,0,2,"Sat May 11 15:38:13 2019",5,"old","images/prime/task/A/truck","truck",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C1058",1058,15,1,1.5,1,0.91370701789856,NA,"A","truck",0,1,0
"17",7,1,0,2,"Sat May 11 15:38:13 2019",7,"old","images/prime/task/A/tree","tree",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C1058",1058,16,1,1.5,1,1.15928411483765,NA,"A","tree",0,1,0
"18",7,1,1,2,"Sat May 11 15:38:13 2019",7,"old","images/prime/task/B/comb","comb",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C1058",1058,17,1,1.5,1,1.37541103363037,NA,"B","brush",0,1,0
"19",7,1,1,2,"Sat May 11 15:38:13 2019",6,"old","images/prime/task/B/sock","sock",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C1058",1058,18,1,1.5,1,0.398960828781128,NA,"B","sock",0,1,0
"20",7,1,1,2,"Sat May 11 15:38:13 2019",7,"old","images/prime/task/B/carrot","carrot",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C1058",1058,19,1,1.5,1,1.29194402694702,NA,"B","carrot",0,1,0
"21",7,1,0,2,"Sat May 11 15:38:13 2019",8,"old","images/prime/task/A/pear","pear",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C1058",1058,20,1,1.5,1,NA,NA,"A","",0,0,0
"22",7,1,0,2,"Sat May 11 15:38:13 2019",5,"old","images/prime/task/A/penguin","penguin",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C1058",1058,21,1,1.5,1,0.355971813201904,NA,"A","banana",0,0,0
"23",7,1,1,2,"Sat May 11 15:38:13 2019",7,"old","images/prime/task/B/glasses","glasses",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C1058",1058,22,1,1.5,1,0.953045845031738,NA,"B","glasses",0,1,0
"24",7,1,1,2,"Sat May 11 15:38:13 2019",6,"old","images/prime/task/B/camel","camel",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C1058",1058,23,1,1.5,1,0.449306964874268,NA,"B","moose",0,0,0
"25",7,1,1,2,"Sat May 11 15:38:13 2019",3,"old","images/prime/task/B/mountain","mountain",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C1058",1058,24,1,1.5,1,1.31838393211365,NA,"B","volcano",0,1,0
"26",7,1,0,2,"Sat May 11 15:38:13 2019",4,"old","images/prime/task/A/table","table",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C1058",1058,25,1,1.5,1,0.227798938751221,NA,"A","table",0,1,0
"27",7,1,1,2,"Sat May 11 15:38:13 2019",4,"old","images/prime/task/B/chair","chair",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C1058",1058,26,1,1.5,1,0.292205810546875,NA,"B","chair",0,1,0
"28",7,1,0,2,"Sat May 11 15:38:13 2019",5,"old","images/prime/task/A/foot","foot",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C1058",1058,27,1,1.5,1,0.386235952377319,NA,"A","feet",0,1,0
"29",7,1,1,2,"Sat May 11 15:38:13 2019",8,"old","images/prime/task/B/kangaroo","kangaroo",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C1058",1058,28,1,1.5,1,NA,NA,"B","",0,0,0
"30",7,1,0,2,"Sat May 11 15:38:13 2019",7,"old","images/prime/task/A/grapes","grapes",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C1058",1058,29,1,1.5,1,1.37665200233459,NA,"A","grapes",0,1,0
