age,animation_time_between_frames,appeared_in_n_back_task,condition,date,difficulty,difficulty_category,image_folder_path,image_name,n_back_block_total,n_back_blocks_reversed,n_back_display_time,n_back_focal_image_height,n_back_image_overlap,n_back_interstimulus_interval,n_back_max_difficulty,n_back_max_errors_to_raise_difficulty,n_back_min_errors_to_lower_difficulty,n_back_practice_max_difficulty,n_back_prime_image_height,n_back_prime_list_name,n_back_start_difficulty,n_back_task,n_back_task_critical_age,output_location,participant,participant_num,position,practice_run,prime_image_display_time,prime_task,reaction_time,response_time,set,user_response,younger_than_or_at_critical_age
21,1,1,2,Fri Jul 19 10:07:43 2019,6,old,images/prime/task/B/carrot,carrot,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,2002,2002,0,1,1.5,1,1.09624814987,,B,carrot,0
21,1,1,2,Fri Jul 19 10:07:43 2019,7,old,images/prime/task/B/bird,bird,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,2002,2002,1,1,1.5,1,0.504901885986,,B,bird,0
21,1,1,2,Fri Jul 19 10:07:43 2019,4,old,images/prime/task/B/pumpkin,pumpkin,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,2002,2002,2,1,1.5,1,0.466430902481,,B,pumpkin,0
21,1,0,2,Fri Jul 19 10:07:43 2019,6,old,images/prime/task/A/penguin,penguin,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,2002,2002,3,1,1.5,1,0.837038040161,,A,penguin,0
21,1,1,2,Fri Jul 19 10:07:43 2019,5,old,images/prime/task/B/kangaroo,kangaroo,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,2002,2002,4,1,1.5,1,0.190946102142,,B,kangaroo,0
21,1,0,2,Fri Jul 19 10:07:43 2019,6,old,images/prime/task/A/foot,foot,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,2002,2002,5,1,1.5,1,0.801279067993,,A,foot,0
21,1,0,2,Fri Jul 19 10:07:43 2019,6,old,images/prime/task/A/tree,tree,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,2002,2002,6,1,1.5,1,0.593285083771,,A,tree,0
21,1,0,2,Fri Jul 19 10:07:43 2019,7,old,images/prime/task/A/monkey,monkey,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,2002,2002,7,1,1.5,1,0.66468501091,,A,monkey,0
21,1,1,2,Fri Jul 19 10:07:43 2019,4,old,images/prime/task/B/bowl,bowl,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,2002,2002,8,1,1.5,1,0.996533870697,,B,bowl,0
21,1,1,2,Fri Jul 19 10:07:43 2019,4,old,images/prime/task/B/umbrella,umbrella,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,2002,2002,9,1,1.5,1,0.460852146149,,B,umbrella,0
21,1,1,2,Fri Jul 19 10:07:43 2019,5,old,images/prime/task/B/apple,apple,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,2002,2002,10,1,1.5,1,0.612350225449,,B,apple,0
21,1,1,2,Fri Jul 19 10:07:43 2019,4,old,images/prime/task/B/car,car,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,2002,2002,11,1,1.5,1,0.839725017548,,B,car,0
21,1,1,2,Fri Jul 19 10:07:43 2019,3,old,images/prime/task/B/camel,camel,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,2002,2002,12,1,1.5,1,1.12438106537,,B,camel,0
21,1,0,2,Fri Jul 19 10:07:43 2019,6,old,images/prime/task/A/kite,kite,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,2002,2002,13,1,1.5,1,0.207309961319,,A,kite,0
21,1,0,2,Fri Jul 19 10:07:43 2019,6,old,images/prime/task/A/piano,piano,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,2002,2002,14,1,1.5,1,1.25991487503,,A,piano,0
21,1,1,2,Fri Jul 19 10:07:43 2019,4,old,images/prime/task/B/glasses,glasses,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,2002,2002,15,1,1.5,1,0.981731891632,,B,glasses,0
21,1,0,2,Fri Jul 19 10:07:43 2019,7,old,images/prime/task/A/whistle,whistle,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,2002,2002,16,1,1.5,1,0.419601917267,,A,whistle,0
21,1,0,2,Fri Jul 19 10:07:43 2019,4,old,images/prime/task/A/truck,truck,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,2002,2002,17,1,1.5,1,1.29367995262,,A,truck,0
21,1,0,2,Fri Jul 19 10:07:43 2019,5,old,images/prime/task/A/horse,horse,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,2002,2002,18,1,1.5,1,1.42543005943,,A,horse,0
21,1,0,2,Fri Jul 19 10:07:43 2019,5,old,images/prime/task/A/clock,clock,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,2002,2002,19,1,1.5,1,0.857397079468,,A,clock,0
21,1,0,2,Fri Jul 19 10:07:43 2019,5,old,images/prime/task/A/snowman,snowman,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,2002,2002,20,1,1.5,1,0.712875127792,,A,snowman,0
21,1,0,2,Fri Jul 19 10:07:43 2019,6,old,images/prime/task/A/banana,banana,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,2002,2002,21,1,1.5,1,0.477962017059,,A,bananana,0
21,1,0,2,Fri Jul 19 10:07:43 2019,6,old,images/prime/task/A/watch,watch,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,2002,2002,22,1,1.5,1,1.31553292274,,A,belt,0
21,1,1,2,Fri Jul 19 10:07:43 2019,6,old,images/prime/task/B/flower,flower,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,2002,2002,23,1,1.5,1,0.854117870331,,B,flower,0
21,1,1,2,Fri Jul 19 10:07:43 2019,5,old,images/prime/task/B/chair,chair,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,2002,2002,24,1,1.5,1,0.689657211304,,B,chair,0
21,1,1,2,Fri Jul 19 10:07:43 2019,5,old,images/prime/task/B/ear,ear,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,2002,2002,25,1,1.5,1,0.641304969788,,B,ear,0
21,1,1,2,Fri Jul 19 10:07:43 2019,4,old,images/prime/task/B/sock,sock,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,2002,2002,26,1,1.5,1,0.945530891418,,B,sock,0
21,1,0,2,Fri Jul 19 10:07:43 2019,6,old,images/prime/task/A/hanger,hanger,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,2002,2002,27,1,1.5,1,0.582468986511,,A,hanger,0
21,1,0,2,Fri Jul 19 10:07:43 2019,8,old,images/prime/task/A/pear,pear,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,2002,2002,28,1,1.5,1,0.512522935867,,A,squash,0
21,1,0,2,Fri Jul 19 10:07:43 2019,5,old,images/prime/task/A/ladder,ladder,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,2002,2002,29,1,1.5,1,0.279385089874,,A,stairs,0
21,1,1,2,Fri Jul 19 10:07:43 2019,6,old,images/prime/task/B/comb,comb,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,2002,2002,30,1,1.5,1,0.712587118149,,B,comb,0
