"","age","animation_time_between_frames","appeared_in_n_back_task","condition","date","difficulty","difficulty_category","image_folder_path","image_name","n_back_block_total","n_back_blocks_reversed","n_back_display_time","n_back_focal_image_height","n_back_image_overlap","n_back_interstimulus_interval","n_back_max_difficulty","n_back_max_errors_to_raise_difficulty","n_back_min_errors_to_lower_difficulty","n_back_practice_max_difficulty","n_back_prime_image_height","n_back_prime_list_name","n_back_start_difficulty","n_back_task","n_back_task_critical_age","output_location","participant","participant_num","position","practice_run","prime_image_display_time","prime_task","reaction_time","response_time","set","user_response","younger_than_or_at_critical_age","response_correct","response_uncertain"
"1",19,1,1,2,"Mon Nov 26 13:05:08 2018",7,"old","images/prime/task/B/comb","comb",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","A030",30,0,1,1.5,1,0.924639940261841,NA,"B","comb",0,1,0
"2",19,1,1,2,"Mon Nov 26 13:05:08 2018",5,"old","images/prime/task/B/bowl","bowl",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","A030",30,1,1,1.5,1,0.6772780418396,NA,"B","bowl
",0,1,0
"3",19,1,1,2,"Mon Nov 26 13:05:08 2018",4,"old","images/prime/task/B/sock","sock",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","A030",30,2,1,1.5,1,0.525941848754883,NA,"B","sock",0,1,0
"4",19,1,0,2,"Mon Nov 26 13:05:08 2018",7,"old","images/prime/task/A/shoe","shoe",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","A030",30,3,1,1.5,1,0.467205047607422,NA,"A","shoe",0,1,0
"5",19,1,1,2,"Mon Nov 26 13:05:08 2018",6,"old","images/prime/task/B/ball","ball",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","A030",30,4,1,1.5,1,1.31837105751038,NA,"B","ball",0,1,0
"6",19,1,0,2,"Mon Nov 26 13:05:08 2018",7,"old","images/prime/task/A/watch","watch",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","A030",30,5,1,1.5,1,0.993350028991699,NA,"A","watch",0,1,0
"7",19,1,0,2,"Mon Nov 26 13:05:08 2018",5,"old","images/prime/task/A/bed","bed",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","A030",30,6,1,1.5,1,0.438611030578613,NA,"A","bed",0,1,0
"8",19,1,0,2,"Mon Nov 26 13:05:08 2018",7,"old","images/prime/task/A/grapes","grapes",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","A030",30,7,1,1.5,1,0.126880168914795,NA,"A","grape",0,1,0
"9",19,1,1,2,"Mon Nov 26 13:05:08 2018",6,"old","images/prime/task/B/camel","camel",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","A030",30,8,1,1.5,1,0.277037143707275,NA,"B","camel",0,1,0
"10",19,1,0,2,"Mon Nov 26 13:05:08 2018",6,"old","images/prime/task/A/cat","cat",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","A030",30,9,1,1.5,1,0.685070991516113,NA,"A","cat",0,1,0
"11",19,1,0,2,"Mon Nov 26 13:05:08 2018",6,"old","images/prime/task/A/horse","horse",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","A030",30,10,1,1.5,1,0.709668874740601,NA,"A","horse",0,1,0
"12",19,1,1,2,"Mon Nov 26 13:05:08 2018",6,"old","images/prime/task/B/carrot","carrot",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","A030",30,11,1,1.5,1,0.549940824508667,NA,"B","carrot",0,1,0
"13",19,1,1,2,"Mon Nov 26 13:05:08 2018",6,"old","images/prime/task/B/pumpkin","pumpkin",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","A030",30,12,1,1.5,1,0.491499185562134,NA,"B","pumpkin
",0,1,0
