"","X.6","X.5","X.4","X.3","X.2","X.1","X","age","animation_time_between_frames","appeared_in_n_back_task","condition","date","difficulty","difficulty_category","image_folder_path","image_name","n_back_block_total","n_back_blocks_reversed","n_back_display_time","n_back_focal_image_height","n_back_image_overlap","n_back_interstimulus_interval","n_back_max_difficulty","n_back_max_errors_to_raise_difficulty","n_back_min_errors_to_lower_difficulty","n_back_practice_max_difficulty","n_back_prime_image_height","n_back_prime_list_name","n_back_start_difficulty","n_back_task","n_back_task_critical_age","output_location","participant","participant_num","position","practice_run","prime_image_display_time","prime_task","reaction_time","response_time","set","user_response","younger_than_or_at_critical_age","response_correct","response_uncertain"
"18",18,18,18,18,18,18,18,17,1,0,0,"Tue Oct  2 10:23:35 2018",7,"old","images/prime/task/B/kangaroo","kangaroo",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A020",20,17,1,1.5,1,1.22562503814697,NA,"B","kangaroo",0,1,0
"19",19,19,19,19,19,19,19,17,1,1,0,"Tue Oct  2 10:23:35 2018",7,"old","images/prime/task/A/hanger","hanger",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A020",20,18,1,1.5,1,0.794124126434326,NA,"A","hanger",0,1,0
"20",20,20,20,20,20,20,20,17,1,0,0,"Tue Oct  2 10:23:35 2018",6,"old","images/prime/task/B/mountain","mountain",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A020",20,19,1,1.5,1,1.31371903419495,NA,"B","mountain",0,1,0
"21",21,21,21,21,21,21,21,17,1,0,0,"Tue Oct  2 10:23:35 2018",7,"old","images/prime/task/B/key","key",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A020",20,20,1,1.5,1,1.34778213500977,NA,"B","key",0,1,0
"22",22,22,22,22,22,22,22,17,1,0,0,"Tue Oct  2 10:23:35 2018",8,"old","images/prime/task/B/ball","ball",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A020",20,21,1,1.5,1,0.229541063308716,NA,"B","ball",0,1,0
"23",23,23,23,23,23,23,23,17,1,1,0,"Tue Oct  2 10:23:35 2018",6,"old","images/prime/task/A/foot","foot",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A020",20,22,1,1.5,1,0.723531007766724,NA,"A","foot",0,1,0
"24",24,24,24,24,24,24,24,17,1,1,0,"Tue Oct  2 10:23:35 2018",7,"old","images/prime/task/A/shoe","shoe",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A020",20,23,1,1.5,1,0.22339916229248,NA,"A","shoe",0,1,0
"25",25,25,25,25,25,25,25,17,1,1,0,"Tue Oct  2 10:23:35 2018",7,"old","images/prime/task/A/banana","banana",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A020",20,24,1,1.5,1,1.40010905265808,NA,"A","banana",0,1,0
"26",26,26,26,26,26,26,26,17,1,0,0,"Tue Oct  2 10:23:35 2018",5,"old","images/prime/task/B/camel","camel",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A020",20,25,1,1.5,1,0.878865003585815,NA,"B","camel",0,1,0
"27",27,27,27,27,27,27,27,17,1,0,0,"Tue Oct  2 10:23:35 2018",8,"old","images/prime/task/B/glasses","glasses",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A020",20,26,1,1.5,1,0.884852886199951,NA,"B","glasses",0,1,0
"28",28,28,28,28,28,28,28,17,1,0,0,"Tue Oct  2 10:23:35 2018",6,"old","images/prime/task/B/car","car",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A020",20,27,1,1.5,1,1.29021000862122,NA,"B","car",0,1,0
"29",29,29,29,29,29,29,29,17,1,1,0,"Tue Oct  2 10:23:35 2018",6,"old","images/prime/task/A/truck","truck",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A020",20,28,1,1.5,1,1.49634099006653,NA,"A","truck",0,1,0
"30",30,30,30,30,30,30,30,17,1,0,0,"Tue Oct  2 10:23:35 2018",6,"old","images/prime/task/B/chair","chair",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A020",20,29,1,1.5,1,1.22463202476501,NA,"B","chair",0,1,0
"31",31,31,31,31,31,31,31,17,1,1,0,"Tue Oct  2 10:23:35 2018",8,"old","images/prime/task/A/piano","piano",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A020",20,30,1,1.5,1,NA,NA,"A","piano",0,1,0
"32",32,32,32,32,32,32,32,17,1,0,0,"Tue Oct  2 10:23:35 2018",6,"old","images/prime/task/B/elephant","elephant",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A020",20,31,1,1.5,1,0.15617299079895,NA,"B","elephant",0,1,0
"33",33,33,33,33,33,33,33,17,1,0,0,"Tue Oct  2 10:23:35 2018",7,"old","images/prime/task/B/sandwich","sandwich",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A020",20,32,1,1.5,1,1.1533567905426,NA,"B","sandwich",0,1,0
"34",34,34,34,34,34,34,34,17,1,1,0,"Tue Oct  2 10:23:35 2018",7,"old","images/prime/task/A/ladder","ladder",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A020",20,33,1,1.5,1,1.30519413948059,NA,"A","ladder",0,1,0
"35",35,35,35,35,35,35,35,17,1,0,0,"Tue Oct  2 10:23:35 2018",7,"old","images/prime/task/B/bird","bird",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A020",20,34,1,1.5,1,0.549470901489258,NA,"B","bird",0,1,0
"36",36,36,36,36,36,36,36,17,1,0,0,"Tue Oct  2 10:23:35 2018",7,"old","images/prime/task/B/umbrella","umbrella",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A020",20,35,1,1.5,1,0.342308044433594,NA,"B","umbrella",0,1,0
"37",37,37,37,37,37,37,37,17,1,1,0,"Tue Oct  2 10:23:35 2018",8,"old","images/prime/task/A/pear","pear",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A020",20,36,1,1.5,1,0.476739168167114,NA,"A","pear",0,1,0
"38",38,38,38,38,38,38,38,17,1,0,0,"Tue Oct  2 10:23:35 2018",7,"old","images/prime/task/B/comb","comb",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A020",20,37,1,1.5,1,0.954894065856934,NA,"B","comb",0,1,0
"39",39,39,39,39,39,39,39,17,1,1,0,"Tue Oct  2 10:23:35 2018",7,"old","images/prime/task/A/watch","watch",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A020",20,38,1,1.5,1,1.41999101638794,NA,"A","watch",0,1,0
"40",40,40,40,40,40,40,40,17,1,0,0,"Tue Oct  2 10:23:35 2018",7,"old","images/prime/task/B/carrot","carrot",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A020",20,39,1,1.5,1,1.36215782165527,NA,"B","carrot",0,1,0
"41",41,41,41,41,41,41,41,17,1,1,0,"Tue Oct  2 10:23:35 2018",6,"old","images/prime/task/A/cat","cat",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A020",20,40,1,1.5,1,0.653250932693481,NA,"A","cat",0,1,0
"42",42,42,42,42,42,42,42,17,1,1,0,"Tue Oct  2 10:23:35 2018",7,"old","images/prime/task/A/whistle","whistle",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A020",20,41,1,1.5,1,1.46934390068054,NA,"A","whistle",0,1,0
"43",43,43,43,43,43,43,43,17,1,1,0,"Tue Oct  2 10:23:35 2018",5,"old","images/prime/task/A/table","table",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A020",20,42,1,1.5,1,1.33383703231812,NA,"A","table",0,1,0
"44",44,44,44,44,44,44,44,17,1,1,0,"Tue Oct  2 10:23:35 2018",8,"old","images/prime/task/A/scissors","scissors",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A020",20,43,1,1.5,1,NA,NA,"A","scissors",0,1,0
"45",45,45,45,45,45,45,45,17,1,1,0,"Tue Oct  2 10:23:35 2018",7,"old","images/prime/task/A/grapes","grapes",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A020",20,44,1,1.5,1,1.25164198875427,NA,"A","grapes",0,1,0
"46",46,46,46,46,46,46,46,17,1,1,0,"Tue Oct  2 10:23:35 2018",6,"old","images/prime/task/A/horse","horse",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A020",20,45,1,1.5,1,1.49742412567139,NA,"A","horse",0,1,0
