age,animation_time_between_frames,appeared_in_n_back_task,condition,date,difficulty,difficulty_category,image_folder_path,image_name,n_back_block_total,n_back_blocks_reversed,n_back_display_time,n_back_focal_image_height,n_back_image_overlap,n_back_interstimulus_interval,n_back_max_difficulty,n_back_max_errors_to_raise_difficulty,n_back_min_errors_to_lower_difficulty,n_back_practice_max_difficulty,n_back_prime_image_height,n_back_prime_list_name,n_back_start_difficulty,n_back_task,n_back_task_critical_age,output_location,participant,participant_num,position,practice_run,prime_image_display_time,prime_task,reaction_time,response_time,set,user_response,younger_than_or_at_critical_age
18,1,1,0,Tue Oct  1 18:11:59 2019,7,old,images/prime/task/A/banana,banana,4,1,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,2024,2024,0,1,1.5,1,0.11033987999,,A,banana,0
18,1,0,0,Tue Oct  1 18:11:59 2019,5,old,images/prime/task/B/car,car,4,1,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,2024,2024,1,1,1.5,1,0.345022916794,,B,car,0
18,1,1,0,Tue Oct  1 18:11:59 2019,5,old,images/prime/task/A/scissors,scissors,4,1,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,2024,2024,2,1,1.5,1,0.36868596077,,A,scissors,0
18,1,1,0,Tue Oct  1 18:11:59 2019,6,old,images/prime/task/A/truck,truck,4,1,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,2024,2024,3,1,1.5,1,1.42043304443,,A,truck,0
18,1,0,0,Tue Oct  1 18:11:59 2019,5,old,images/prime/task/B/ear,ear,4,1,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,2024,2024,4,1,1.5,1,1.13125991821,,B,ear,0
18,1,0,0,Tue Oct  1 18:11:59 2019,6,old,images/prime/task/B/guitar,guitar,4,1,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,2024,2024,5,1,1.5,1,0.469007968903,,B,guitar,0
18,1,1,0,Tue Oct  1 18:11:59 2019,5,old,images/prime/task/A/ladder,ladder,4,1,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,2024,2024,6,1,1.5,1,1.42389893532,,A,ladder,0
18,1,1,0,Tue Oct  1 18:11:59 2019,6,old,images/prime/task/A/clock,clock,4,1,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,2024,2024,7,1,1.5,1,0.0962018966675,,A,clock,0
18,1,1,0,Tue Oct  1 18:11:59 2019,4,old,images/prime/task/A/snowman,snowman,4,1,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,2024,2024,8,1,1.5,1,0.830624103546,,A,snowman,0
18,1,0,0,Tue Oct  1 18:11:59 2019,6,old,images/prime/task/B/mountain,mountain,4,1,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,2024,2024,9,1,1.5,1,1.27464985847,,B,mountain,0
18,1,1,0,Tue Oct  1 18:11:59 2019,6,old,images/prime/task/A/whistle,whistle,4,1,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,2024,2024,10,1,1.5,1,1.02658891678,,A,whistle,0
18,1,1,0,Tue Oct  1 18:11:59 2019,6,old,images/prime/task/A/tree,tree,4,1,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,2024,2024,11,1,1.5,1,0.817401170731,,A,tree,0
18,1,0,0,Tue Oct  1 18:11:59 2019,8,old,images/prime/task/B/apple,apple,4,1,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,2024,2024,12,1,1.5,1,0.151612043381,,B,apple,0
18,1,0,0,Tue Oct  1 18:11:59 2019,6,old,images/prime/task/B/sandwich,sandwich,4,1,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,2024,2024,13,1,1.5,1,1.43791294098,,B,sandwich,0
18,1,1,0,Tue Oct  1 18:11:59 2019,5,old,images/prime/task/A/horse,horse,4,1,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,2024,2024,14,1,1.5,1,0.522696018219,,A,horse,0
18,1,0,0,Tue Oct  1 18:11:59 2019,6,old,images/prime/task/B/comb,comb,4,1,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,2024,2024,15,1,1.5,1,1.09635400772,,B,comb,0
18,1,1,0,Tue Oct  1 18:11:59 2019,3,old,images/prime/task/A/table,table,4,1,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,2024,2024,16,1,1.5,1,0.981868982315,,A,table,0
18,1,0,0,Tue Oct  1 18:11:59 2019,5,old,images/prime/task/B/umbrella,umbrella,4,1,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,2024,2024,17,1,1.5,1,0.505681991577,,B,umbrella,0
18,1,0,0,Tue Oct  1 18:11:59 2019,5,old,images/prime/task/B/chair,chair,4,1,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,2024,2024,18,1,1.5,1,1.03086090088,,B,chair,0
