"","age","animation_time_between_frames","appeared_in_n_back_task","condition","date","difficulty","difficulty_category","image_folder_path","image_name","n_back_block_total","n_back_blocks_reversed","n_back_display_time","n_back_focal_image_height","n_back_image_overlap","n_back_interstimulus_interval","n_back_max_difficulty","n_back_max_errors_to_raise_difficulty","n_back_min_errors_to_lower_difficulty","n_back_practice_max_difficulty","n_back_prime_image_height","n_back_prime_list_name","n_back_start_difficulty","n_back_task","n_back_task_critical_age","output_location","participant","participant_num","position","practice_run","prime_image_display_time","prime_task","reaction_time","response_time","set","user_response","younger_than_or_at_critical_age","response_correct","response_uncertain"
"1",9,1,1,3,"Sat May 11 15:56:37 2019",8,"old","images/prime/task/B/comb","comb",4,0,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C1059",1059,0,1,1.5,1,0.136314153671265,NA,"B","comb",0,1,0
"2",9,1,1,3,"Sat May 11 15:56:37 2019",7,"old","images/prime/task/B/glasses","glasses",4,0,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C1059",1059,1,1,1.5,1,0.936496019363403,NA,"B","glasses",0,1,0
"3",9,1,1,3,"Sat May 11 15:56:37 2019",4,"old","images/prime/task/B/car","car",4,0,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C1059",1059,2,1,1.5,1,0.980041980743408,NA,"B","car",0,1,0
"4",9,1,1,3,"Sat May 11 15:56:37 2019",6,"old","images/prime/task/B/camel","camel",4,0,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C1059",1059,3,1,1.5,1,1.15623903274536,NA,"B","camel",0,1,0
"5",9,1,1,3,"Sat May 11 15:56:37 2019",7,"old","images/prime/task/B/sandwich","sandwich",4,0,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C1059",1059,4,1,1.5,1,0.823280096054077,NA,"B","sandwich",0,1,0
"6",9,1,0,3,"Sat May 11 15:56:37 2019",6,"old","images/prime/task/A/tree","tree",4,0,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C1059",1059,5,1,1.5,1,1.21465015411377,NA,"A","tree",0,1,0
"7",9,1,0,3,"Sat May 11 15:56:37 2019",5,"old","images/prime/task/A/horse","horse",4,0,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C1059",1059,6,1,1.5,1,1.40755105018616,NA,"A","horse",0,1,0
"8",9,1,1,3,"Sat May 11 15:56:37 2019",7,"old","images/prime/task/B/ball","ball",4,0,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C1059",1059,7,1,1.5,1,0.00399613380432129,NA,"B","ball",0,1,0
"9",9,1,1,3,"Sat May 11 15:56:37 2019",4,"old","images/prime/task/B/mountain","mountain",4,0,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C1059",1059,8,1,1.5,1,0.470671892166138,NA,"B","mountain",0,1,0
"10",9,1,1,3,"Sat May 11 15:56:37 2019",5,"old","images/prime/task/B/chair","chair",4,0,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C1059",1059,9,1,1.5,1,1.2491090297699,NA,"B","chair",0,1,0
