age,animation_time_between_frames,appeared_in_n_back_task,condition,date,difficulty,difficulty_category,image_folder_path,image_name,n_back_block_total,n_back_blocks_reversed,n_back_display_time,n_back_focal_image_height,n_back_image_overlap,n_back_interstimulus_interval,n_back_max_difficulty,n_back_max_errors_to_raise_difficulty,n_back_min_errors_to_lower_difficulty,n_back_practice_max_difficulty,n_back_prime_image_height,n_back_prime_list_name,n_back_start_difficulty,n_back_task,n_back_task_critical_age,output_location,participant,participant_num,position,practice_run,prime_image_display_time,prime_task,reaction_time,response_time,set,user_response,younger_than_or_at_critical_age
18,1,1,3,Tue Oct  1 17:15:08 2019,6,old,images/prime/task/B/kangaroo,kangaroo,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,2023,2023,0,1,1.5,1,0.450282096863,,B,kangaroo,0
18,1,1,3,Tue Oct  1 17:15:08 2019,7,old,images/prime/task/B/ball,ball,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,2023,2023,1,1,1.5,1,0.404194116592,,B,ball,0
18,1,0,3,Tue Oct  1 17:15:08 2019,7,old,images/prime/task/A/piano,piano,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,2023,2023,2,1,1.5,1,0.2901699543,,A,piano,0
18,1,1,3,Tue Oct  1 17:15:08 2019,5,old,images/prime/task/B/elephant,elephant,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,2023,2023,3,1,1.5,1,1.04834794998,,B,elephant,0
18,1,1,3,Tue Oct  1 17:15:08 2019,6,old,images/prime/task/B/ear,ear,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,2023,2023,4,1,1.5,1,0.584404945374,,B,ear,0
18,1,1,3,Tue Oct  1 17:15:08 2019,5,old,images/prime/task/B/bird,bird,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,2023,2023,5,1,1.5,1,0.0235080718994,,B,bird,0
18,1,0,3,Tue Oct  1 17:15:08 2019,7,old,images/prime/task/A/truck,truck,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,2023,2023,6,1,1.5,1,0.951766014099,,A,truck,0
18,1,0,3,Tue Oct  1 17:15:08 2019,8,old,images/prime/task/A/pear,pear,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,2023,2023,7,1,1.5,1,0.630011081696,,A,pear,0
18,1,0,3,Tue Oct  1 17:15:08 2019,8,old,images/prime/task/A/tree,tree,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,2023,2023,8,1,1.5,1,0.341650009155,,A,tree,0
18,1,1,3,Tue Oct  1 17:15:08 2019,4,old,images/prime/task/B/glasses,glasses,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,2023,2023,9,1,1.5,1,1.25664806366,,B,glasses,0
18,1,1,3,Tue Oct  1 17:15:08 2019,6,old,images/prime/task/B/comb,comb,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,2023,2023,10,1,1.5,1,0.552698135376,,B,comb,0
18,1,0,3,Tue Oct  1 17:15:08 2019,5,old,images/prime/task/A/kite,kite,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,2023,2023,11,1,1.5,1,0.673878908157,,A,kite,0
18,1,1,3,Tue Oct  1 17:15:08 2019,5,old,images/prime/task/B/hand,hand,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,2023,2023,12,1,1.5,1,0.845273971558,,B,hand,0
18,1,0,3,Tue Oct  1 17:15:08 2019,7,old,images/prime/task/A/fish,fish,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,2023,2023,13,1,1.5,1,0.0831379890442,,A,fish,0
18,1,1,3,Tue Oct  1 17:15:08 2019,7,old,images/prime/task/B/apple,apple,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,2023,2023,14,1,1.5,1,0.379768848419,,B,apple,0
18,1,1,3,Tue Oct  1 17:15:08 2019,5,old,images/prime/task/B/car,car,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,2023,2023,15,1,1.5,1,0.728034973145,,B,car,0
18,1,0,3,Tue Oct  1 17:15:08 2019,7,old,images/prime/task/A/ladder,ladder,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,2023,2023,16,1,1.5,1,0.528450012207,,A,ladder,0
18,1,0,3,Tue Oct  1 17:15:08 2019,5,old,images/prime/task/A/hanger,hanger,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,2023,2023,17,1,1.5,1,0.840106964111,,A,hanger,0
18,1,1,3,Tue Oct  1 17:15:08 2019,6,old,images/prime/task/B/umbrella,umbrella,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,2023,2023,18,1,1.5,1,0.275604009628,,B,umbrella,0
18,1,0,3,Tue Oct  1 17:15:08 2019,7,old,images/prime/task/A/monkey,monkey,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,2023,2023,19,1,1.5,1,0.411164999008,,A,monkey,0
18,1,1,3,Tue Oct  1 17:15:08 2019,7,old,images/prime/task/B/pumpkin,pumpkin,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,2023,2023,20,1,1.5,1,0.300258159637,,B,pumpkin,0
18,1,1,3,Tue Oct  1 17:15:08 2019,5,old,images/prime/task/B/guitar,guitar,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,2023,2023,21,1,1.5,1,0.955672979355,,B,guitar,0
