"","X","age","animation_time_between_frames","appeared_in_n_back_task","condition","date","difficulty","difficulty_category","image_folder_path","image_name","n_back_block_total","n_back_blocks_reversed","n_back_display_time","n_back_focal_image_height","n_back_image_overlap","n_back_interstimulus_interval","n_back_max_difficulty","n_back_max_errors_to_raise_difficulty","n_back_min_errors_to_lower_difficulty","n_back_practice_max_difficulty","n_back_prime_image_height","n_back_prime_list_name","n_back_start_difficulty","n_back_task","n_back_task_critical_age","output_location","participant","participant_num","position","practice_run","prime_image_display_time","prime_task","reaction_time","response_time","set","user_response","younger_than_or_at_critical_age","response_correct","response_uncertain"
"1",1,18,1,0,1,"Thu Mar 14 11:13:39 2019",6,"old","images/prime/task/B/flower","flower",4,0,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A049",49,0,1,1.5,1,0.963654994965,NA,"B","flower",0,1,0
"2",2,18,1,1,1,"Thu Mar 14 11:13:39 2019",6,"old","images/prime/task/A/cat","cat",4,0,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A049",49,1,1,1.5,1,0.226070165634,NA,"A","cat",0,1,0
"3",3,18,1,1,1,"Thu Mar 14 11:13:39 2019",7,"old","images/prime/task/A/piano","piano",4,0,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A049",49,2,1,1.5,1,0.577004909515,NA,"A","piano",0,1,0
"4",4,18,1,1,1,"Thu Mar 14 11:13:39 2019",4,"old","images/prime/task/A/kite","kite",4,0,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A049",49,3,1,1.5,1,1.37108302116,NA,"A","kite",0,1,0
"5",5,18,1,0,1,"Thu Mar 14 11:13:39 2019",5,"old","images/prime/task/B/pumpkin","pumpkin",4,0,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A049",49,4,1,1.5,1,0.624708175659,NA,"B","pumkin",0,1,0
"6",6,18,1,1,1,"Thu Mar 14 11:13:39 2019",6,"old","images/prime/task/A/pear","pear",4,0,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A049",49,5,1,1.5,1,0.542146205902,NA,"A","pear",0,1,0
"7",7,18,1,1,1,"Thu Mar 14 11:13:39 2019",5,"old","images/prime/task/A/snowman","snowman",4,0,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A049",49,6,1,1.5,1,0.512180805206,NA,"A","snowman",0,1,0
"8",8,18,1,1,1,"Thu Mar 14 11:13:39 2019",6,"old","images/prime/task/A/shoe","shoe",4,0,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A049",49,7,1,1.5,1,0.384985923767,NA,"A","shoe",0,1,0
"9",9,18,1,0,1,"Thu Mar 14 11:13:39 2019",5,"old","images/prime/task/B/elephant","elephant",4,0,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A049",49,8,1,1.5,1,0.727221012115,NA,"B","elephant",0,1,0
"10",10,18,1,0,1,"Thu Mar 14 11:13:39 2019",6,"old","images/prime/task/B/comb","comb",4,0,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A049",49,9,1,1.5,1,0.921184062958,NA,"B","comb",0,1,0
