"","age","animation_time_between_frames","appeared_in_n_back_task","condition","date","difficulty","difficulty_category","image_folder_path","image_name","n_back_block_total","n_back_blocks_reversed","n_back_display_time","n_back_focal_image_height","n_back_image_overlap","n_back_interstimulus_interval","n_back_max_difficulty","n_back_max_errors_to_raise_difficulty","n_back_min_errors_to_lower_difficulty","n_back_practice_max_difficulty","n_back_prime_image_height","n_back_prime_list_name","n_back_start_difficulty","n_back_task","n_back_task_critical_age","output_location","participant","participant_num","position","practice_run","prime_image_display_time","prime_task","reaction_time","response_time","set","user_response","younger_than_or_at_critical_age","response_correct","response_uncertain"
"1",7,1,0,0,"Sun May 12 14:04:44 2019",7,"old","images/prime/task/B/bird","bird",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","C1064",1064,0,1,1.5,1,0.41645693779,NA,"B","bird",0,1,0
"2",7,1,1,0,"Sun May 12 14:04:44 2019",5,"old","images/prime/task/A/horse","horse",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","C1064",1064,1,1,1.5,1,1.40148496628,NA,"A","dog",0,0,0
"3",7,1,0,0,"Sun May 12 14:04:44 2019",8,"old","images/prime/task/B/guitar","guitar",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","C1064",1064,2,1,1.5,1,0.507290124893,NA,"B","guitar",0,1,0
"4",7,1,1,0,"Sun May 12 14:04:44 2019",6,"old","images/prime/task/A/shoe","shoe",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","C1064",1064,3,1,1.5,1,0.0666260719299,NA,"A","shoe",0,1,0
"5",7,1,0,0,"Sun May 12 14:04:44 2019",8,"old","images/prime/task/B/comb","comb",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","C1064",1064,4,1,1.5,1,0.846081018448,NA,"B","brush",0,1,0
"6",7,1,0,0,"Sun May 12 14:04:44 2019",6,"old","images/prime/task/B/kangaroo","kangaroo",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","C1064",1064,5,1,1.5,1,1.24470615387,NA,"B","kangaroo",0,1,0
"7",7,1,0,0,"Sun May 12 14:04:44 2019",8,"old","images/prime/task/B/sandwich","sandwich",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","C1064",1064,6,1,1.5,1,0.227123975754,NA,"B","sandwich",0,1,0
"8",7,1,1,0,"Sun May 12 14:04:44 2019",7,"old","images/prime/task/A/scissors","scissors",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","C1064",1064,7,1,1.5,1,0.0607690811157,NA,"A","scissors",0,1,0
"9",7,1,0,0,"Sun May 12 14:04:44 2019",7,"old","images/prime/task/B/key","key",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","C1064",1064,8,1,1.5,1,1.30563282967,NA,"B","key",0,1,0
"10",7,1,1,0,"Sun May 12 14:04:44 2019",8,"old","images/prime/task/A/piano","piano",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","C1064",1064,9,1,1.5,1,0.2144780159,NA,"A","piano",0,1,0
