,X,age,animation_time_between_frames,appeared_in_n_back_task,condition,date,difficulty,difficulty_category,image_folder_path,image_name,n_back_block_total,n_back_blocks_reversed,n_back_display_time,n_back_focal_image_height,n_back_image_overlap,n_back_interstimulus_interval,n_back_max_difficulty,n_back_max_errors_to_raise_difficulty,n_back_min_errors_to_lower_difficulty,n_back_practice_max_difficulty,n_back_prime_image_height,n_back_prime_list_name,n_back_start_difficulty,n_back_task,n_back_task_critical_age,output_location,participant,participant_num,position,practice_run,prime_image_display_time,prime_task,reaction_time,response_time,set,user_response,younger_than_or_at_critical_age,response_correct,response_uncertain
1,1,18,1,1,2,Wed May 15 16:02:40 2019,6,old,images/prime/task/B/key,key,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A086,86,0,1,1.5,1,0.852679968,NA,B,key,1,1,0
2,2,18,1,1,2,Wed May 15 16:02:40 2019,6,old,images/prime/task/B/guitar,guitar,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A086,86,1,1,1.5,1,0.048887014,NA,B,guitar,1,1,0
3,3,18,1,0,2,Wed May 15 16:02:40 2019,5,old,images/prime/task/A/horse,horse,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A086,86,2,1,1.5,1,0.443608999,NA,A,horse,1,1,0
4,4,18,1,0,2,Wed May 15 16:02:40 2019,4,old,images/prime/task/A/banana,banana,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A086,86,3,1,1.5,1,1.26978302,NA,A,banana,1,1,0
5,5,18,1,1,2,Wed May 15 16:02:40 2019,6,old,images/prime/task/B/comb,comb,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A086,86,4,1,1.5,1,0.827787876,NA,B,comb,1,1,0
6,6,18,1,1,2,Wed May 15 16:02:40 2019,5,old,images/prime/task/B/flower,flower,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A086,86,5,1,1.5,1,0.455248117,NA,B,flower,1,1,0
7,7,18,1,0,2,Wed May 15 16:02:40 2019,6,old,images/prime/task/A/pear,pear,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A086,86,6,1,1.5,1,0.957823992,NA,A,pear,1,1,0
8,8,18,1,0,2,Wed May 15 16:02:40 2019,5,old,images/prime/task/A/fish,fish,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A086,86,7,1,1.5,1,0.951188087,NA,A,fish,1,1,0
9,9,18,1,0,2,Wed May 15 16:02:40 2019,6,old,images/prime/task/A/piano,piano,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A086,86,8,1,1.5,1,0.835198164,NA,A,piano,1,1,0
10,10,18,1,0,2,Wed May 15 16:02:40 2019,7,old,images/prime/task/A/watch,watch,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A086,86,9,1,1.5,1,0.741213083,NA,A,watch,1,1,0
11,11,18,1,1,2,Wed May 15 16:02:40 2019,7,old,images/prime/task/B/apple,apple,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A086,86,10,1,1.5,1,0.986304045,NA,B,apple,1,1,0
12,12,18,1,0,2,Wed May 15 16:02:40 2019,5,old,images/prime/task/A/scissors,scissors,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A086,86,11,1,1.5,1,0.862292051,NA,A,scisorrs,1,1,0
13,13,18,1,1,2,Wed May 15 16:02:40 2019,6,old,images/prime/task/B/bird,bird,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A086,86,12,1,1.5,1,0.827759981,NA,B,bird,1,1,0
14,14,18,1,1,2,Wed May 15 16:02:40 2019,7,old,images/prime/task/B/sandwich,sandwich,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A086,86,13,1,1.5,1,1.040953875,NA,B,sandwich,1,1,0
15,15,18,1,1,2,Wed May 15 16:02:40 2019,6,old,images/prime/task/B/glasses,glasses,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A086,86,14,1,1.5,1,1.041417122,NA,B,glasses,1,1,0
16,16,18,1,0,2,Wed May 15 16:02:40 2019,6,old,images/prime/task/A/whistle,whistle,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A086,86,15,1,1.5,1,1.0249331,NA,A,whistle,1,1,0
17,17,18,1,1,2,Wed May 15 16:02:40 2019,6,old,images/prime/task/B/carrot,carrot,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A086,86,16,1,1.5,1,0.886107206,NA,B,carrot,1,1,0
18,18,18,1,1,2,Wed May 15 16:02:40 2019,6,old,images/prime/task/B/kangaroo,kangaroo,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A086,86,17,1,1.5,1,0.204755783,NA,B,kangaroo,1,1,0
19,19,18,1,1,2,Wed May 15 16:02:40 2019,5,old,images/prime/task/B/bowl,bowl,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A086,86,18,1,1.5,1,0.800636053,NA,B,bowl,1,1,0
20,20,18,1,1,2,Wed May 15 16:02:40 2019,5,old,images/prime/task/B/candle,candle,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A086,86,19,1,1.5,1,1.418072939,NA,B,candle,1,1,0
21,21,18,1,1,2,Wed May 15 16:02:40 2019,7,old,images/prime/task/B/mountain,mountain,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A086,86,20,1,1.5,1,0.6605618,NA,B,mountain,1,1,0
22,22,18,1,1,2,Wed May 15 16:02:40 2019,6,old,images/prime/task/B/ear,ear,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A086,86,21,1,1.5,1,0.343587875,NA,B,ear,1,1,0
23,23,18,1,1,2,Wed May 15 16:02:40 2019,5,old,images/prime/task/B/hand,hand,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A086,86,22,1,1.5,1,1.097926855,NA,B,hand,1,1,0
24,24,18,1,1,2,Wed May 15 16:02:40 2019,6,old,images/prime/task/B/pumpkin,pumpkin,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A086,86,23,1,1.5,1,0.842225075,NA,B,pumpkin,1,1,0
25,25,18,1,0,2,Wed May 15 16:02:40 2019,6,old,images/prime/task/A/truck,truck,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A086,86,24,1,1.5,1,0.040517092,NA,A,truck,1,1,0
26,26,18,1,1,2,Wed May 15 16:02:40 2019,5,old,images/prime/task/B/car,car,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A086,86,25,1,1.5,1,0.873027086,NA,B,car,1,1,0
27,27,18,1,1,2,Wed May 15 16:02:40 2019,5,old,images/prime/task/B/elephant,elephant,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A086,86,26,1,1.5,1,0.525111914,NA,B,elephant,1,1,0
28,28,18,1,0,2,Wed May 15 16:02:40 2019,6,old,images/prime/task/A/snowman,snowman,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A086,86,27,1,1.5,1,0.479086161,NA,A,snowman,1,1,0
29,29,18,1,0,2,Wed May 15 16:02:40 2019,4,old,images/prime/task/A/ladder,ladder,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A086,86,28,1,1.5,1,0.493644953,NA,A,ladder,1,1,0
30,30,18,1,0,2,Wed May 15 16:02:40 2019,6,old,images/prime/task/A/shoe,shoe,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A086,86,29,1,1.5,1,0.75064683,NA,A,shoe,1,1,0
31,31,18,1,0,2,Wed May 15 16:02:40 2019,5,old,images/prime/task/A/clock,clock,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A086,86,30,1,1.5,1,0.848300934,NA,A,clock,1,1,0
32,32,18,1,0,2,Wed May 15 16:02:40 2019,6,old,images/prime/task/A/monkey,monkey,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A086,86,31,1,1.5,1,0.971142769,NA,A,horse,0,0,0
33,33,18,1,0,2,Wed May 15 16:02:40 2019,6,old,images/prime/task/A/hanger,hanger,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A086,86,32,1,1.5,1,0.305593014,NA,A,hanger,1,1,0
34,34,18,1,1,2,Wed May 15 16:02:40 2019,6,old,images/prime/task/B/camel,camel,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A086,86,33,1,1.5,1,0.325052977,NA,B,"camel",1,0,0
35,35,18,1,0,2,Wed May 15 16:02:40 2019,7,old,images/prime/task/A/grapes,grapes,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A086,86,34,1,1.5,1,0.803786039,NA,A,grapes,1,1,0
36,36,18,1,0,2,Wed May 15 16:02:40 2019,5,old,images/prime/task/A/kite,kite,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A086,86,35,1,1.5,1,0.869199038,NA,A,kite,1,1,0
37,37,18,1,0,2,Wed May 15 16:02:40 2019,7,old,images/prime/task/A/cat,cat,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A086,86,36,1,1.5,1,0.258589983,NA,A,cat,1,1,0
38,38,18,1,1,2,Wed May 15 16:02:40 2019,5,old,images/prime/task/B/chair,chair,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A086,86,37,1,1.5,1,0.917793036,NA,B,chair,1,1,0
39,39,18,1,1,2,Wed May 15 16:02:40 2019,6,old,images/prime/task/B/ball,ball,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A086,86,38,1,1.5,1,1.389648914,NA,B,easter egg,1,1,0
