"","age","animation_time_between_frames","appeared_in_n_back_task","condition","date","difficulty","difficulty_category","image_folder_path","image_name","n_back_block_total","n_back_blocks_reversed","n_back_display_time","n_back_focal_image_height","n_back_image_overlap","n_back_interstimulus_interval","n_back_max_difficulty","n_back_max_errors_to_raise_difficulty","n_back_min_errors_to_lower_difficulty","n_back_practice_max_difficulty","n_back_prime_image_height","n_back_prime_list_name","n_back_start_difficulty","n_back_task","n_back_task_critical_age","output_location","participant","participant_num","position","practice_run","prime_image_display_time","prime_task","reaction_time","response_time","set","user_response","younger_than_or_at_critical_age","response_correct","response_uncertain"
"1",21,1,0,2,"Mon Apr  1 16:47:54 2019",5,"old","images/prime/task/A/fish","fish",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","A066",66,0,1,1.5,1,0.648875951766968,NA,"A","fish",0,1,0
"2",21,1,0,2,"Mon Apr  1 16:47:54 2019",5,"old","images/prime/task/A/ladder","ladder",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","A066",66,1,1,1.5,1,0.63959789276123,NA,"A","ladder",0,1,0
"3",21,1,1,2,"Mon Apr  1 16:47:54 2019",6,"old","images/prime/task/B/elephant","elephant",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","A066",66,2,1,1.5,1,0.441947937011719,NA,"B","elephant",0,1,0
"4",21,1,1,2,"Mon Apr  1 16:47:54 2019",7,"old","images/prime/task/B/sock","sock",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","A066",66,3,1,1.5,1,0.288218021392822,NA,"B","sock",0,1,0
"5",21,1,0,2,"Mon Apr  1 16:47:54 2019",6,"old","images/prime/task/A/shoe","shoe",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","A066",66,4,1,1.5,1,1.0920889377594,NA,"A","",0,0,0
"6",21,1,0,2,"Mon Apr  1 16:47:54 2019",6,"old","images/prime/task/A/kite","kite",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","A066",66,5,1,1.5,1,0.897125959396362,NA,"A","kite",0,1,0
"7",21,1,1,2,"Mon Apr  1 16:47:54 2019",6,"old","images/prime/task/B/hand","hand",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","A066",66,6,1,1.5,1,0.600089073181152,NA,"B","hand",0,1,0
"8",21,1,0,2,"Mon Apr  1 16:47:54 2019",7,"old","images/prime/task/A/grapes","grapes",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","A066",66,7,1,1.5,1,1.03702878952026,NA,"A","grapes",0,1,0
"9",21,1,1,2,"Mon Apr  1 16:47:54 2019",6,"old","images/prime/task/B/ear","ear",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","A066",66,8,1,1.5,1,0.869954109191895,NA,"B","ear",0,1,0
"10",21,1,1,2,"Mon Apr  1 16:47:54 2019",7,"old","images/prime/task/B/bird","bird",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","A066",66,9,1,1.5,1,0.963117837905884,NA,"B","bird",0,1,0
